priority,bib_key,year,title,type,metadata_status,recommended_action
P0,horani2023businessanalytics,2023,"Determining the Factors Influencing Business Analytics Adoption at Organizational Level: A Systematic Literature Review",journal,clean,"Keep as core literature"
P0,kostopoulos2024xaidss,2024,"Explainable Artificial Intelligence-Based Decision Support Systems: A Recent Review",journal,clean,"Keep as core literature"
P0,coussement2024xai,2024,"Explainable AI for Enhanced Decision-Making",journal,clean,"Keep as core literature"
P0,krumdick2024bizbench,2024,"BizBench: A Quantitative Reasoning Benchmark for Business and Finance",conference,partial,"Keep and optionally complete full author list"
P0,finbench2023,2023,"FinanceBench: A New Benchmark for Financial Question Answering",preprint,needs_author_lookup,"Find full author list and keep"
P0,tang2025financereasoning,2025,"FinanceReasoning: Benchmarking Financial Numerical Reasoning More Credible, Comprehensive and Challenging",conference,partial,"Keep and optionally complete full author list"
P0,bibench2025,2025,"BI-Bench: A Comprehensive Benchmark Dataset and Unsupervised Evaluation for BI Systems",tech_report,partial,"Keep and verify final publication details"
P0,wang2024visualanalyticsml,2024,"Visual Analytics for Machine Learning: A Data Perspective Survey",journal,clean,"Keep as core literature"
P0,zhao2023surveyllm,2023,"A Survey of Large Language Models",preprint,partial,"Keep and optionally complete full author list"
P0,huang2023reasoningllm,2023,"Towards Reasoning in Large Language Models: A Survey",conference,clean,"Keep as core literature"
P0,liu2023trustworthy,2023,"Trustworthy LLMs: A Survey and Guideline for Evaluating Large Language Models' Alignment",preprint,partial,"Keep and optionally complete full author list"
P0,huang2025hallucination,2025,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",journal,partial,"Keep and optionally complete full author list"
P0,wang2023selfconsistency,2023,"Self-Consistency Improves Chain of Thought Reasoning in Language Models",conference,partial,"Keep and optionally complete full author list"
P0,guo2024multiagentsurvey,2024,"Large Language Model Based Multi-agents: A Survey of Progress and Challenges",conference,partial,"Keep and optionally complete full author list"
P0,li2023camel,2023,"CAMEL: Communicative Agents for Mind Exploration of Large Language Model Society",preprint,partial,"Keep and optionally complete full author list"
P0,wu2023autogen,2023,"AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation Framework",preprint,partial,"Keep and optionally complete full author list"
P0,huang2024planningagents,2024,"Understanding the Planning of LLM Agents: A Survey",preprint,partial,"Keep and optionally complete full author list"
P0,lewis2020rag,2020,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",conference,partial,"Keep and optionally complete full author list"
P0,gao2023ragsurvey,2023,"Retrieval-Augmented Generation for Large Language Models: A Survey",preprint,partial,"Keep and optionally complete full author list"
P0,pan2023llmkg,2023,"Large Language Models and Knowledge Graphs: Opportunities and Challenges",journal,partial,"Keep and optionally complete full author list"
P0,jiang2023structgpt,2023,"StructGPT: A General Framework for Large Language Model to Reason over Structured Data",conference,partial,"Keep and optionally complete full author list"
P0,jin2024graphcot,2024,"Graph Chain-of-Thought: Augmenting Large Language Models by Reasoning on Graphs",conference,partial,"Keep and optionally complete full author list"
P0,chang2024evalllm,2024,"A Survey on Evaluation of Large Language Models",journal,partial,"Keep and optionally complete full author list"
P0,yu2024evalrag,2024,"Evaluation of Retrieval-Augmented Generation: A Survey",preprint,partial,"Keep and optionally complete full author list"
P0,singh2025agenticrag,2025,"Agentic Retrieval-Augmented Generation: A Survey on Agentic RAG",preprint,partial,"Keep and optionally complete full author list"
P0,businesstoanalytics2022canvas,2022,"Business-to-Analytics Canvas: Translation of Product Planning-Related Business Use Cases into Concrete Data Analytics Tasks",conference,needs_author_lookup,"Find authors and keep"
P0,analytics2018canvas,2018,"Analytics Canvas: A Framework for the Design and Specification of Data Analytics Projects",conference,needs_author_lookup,"Find authors and keep"
P0,luera2024uidesigngenai,2024,"Survey of User Interface Design and Interaction Techniques in Generative AI Applications",preprint,partial,"Keep and optionally complete full author list"
P0,organizational2024dashboard,2024,"Organizational Decision Making and Analytics: An Experimental Study on Dashboard Visualizations",journal,needs_author_lookup,"Find authors and keep"
P0,qu2025toollearning,2025,"Tool Learning with Large Language Models: A Survey",journal,partial,"Keep and optionally complete full author list"
P0,larosa2023visualxai,2023,"State of the Art of Visual Analytics for eXplainable Deep Learning",journal,partial,"Keep and optionally complete full author list"
P1,contextaware2024xai,2024,"A Context-Aware Decision Support System for Selecting Explainable Artificial Intelligence Methods in Business Organizations",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,generative2025decision,2025,"Generative AI for Decision-Making: A Multidisciplinary Perspective",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,prescriptive2025systems,2025,"Prescriptive Analytics Systems Revised: A Systematic Literature Review from an Information Systems Perspective",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,industry2024aidss,2024,"AI-Based Decision Support Systems in Industry 4.0, a Review",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,towards2025visualindustrial,2025,"Towards Visual Analytics for Explainable AI in Industrial Applications",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,methodology2024xaiinterfaces,2024,"A Methodology to Guide Companies in Using Explainable AI-Driven Interfaces in Manufacturing Contexts",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,realtime2024railway,2024,"Real-time Decision Support for Human-Machine Interaction in Digital Railway Control Rooms",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,democratizing2025agrifood,2025,"Democratizing Human-AI Collaborative Decision-Making in Agri-Food Supply Chains: A Trust-Building Framework",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,dashboard2025b2b,2025,"How Business Dashboards Enhance B2B Decisions: The Role of Asymmetric Information Management Capability",journal,needs_author_lookup,"Find authors and keep as support literature"
P1,finben2024,2024,"FinBen: A Holistic Financial Benchmark for Large Language Models",preprint,needs_author_lookup,"Find authors and keep as support literature"
P1,tonmoy2024hallucinationmitigation,2024,"A Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models",preprint,partial,"Keep and optionally complete full author list"
P1,yao2023treeofthoughts,2023,"Tree of Thoughts: Deliberate Problem Solving with Large Language Models",preprint,partial,"Keep and optionally complete full author list"
P1,shinn2023reflexion,2023,"Reflexion: Language Agents with Verbal Reinforcement Learning",conference,partial,"Keep and optionally complete full author list"
