priority,bib_key,year,title,type,current_author_field,what_to_fill
P0,finbench2023,2023,"FinanceBench: A New Benchmark for Financial Question Answering",preprint,"{{Unknown}}","Fill full author list"
P0,businesstoanalytics2022canvas,2022,"Business-to-Analytics Canvas: Translation of Product Planning-Related Business Use Cases into Concrete Data Analytics Tasks",conference,"{{Unknown}}","Fill full author list"
P0,analytics2018canvas,2018,"Analytics Canvas: A Framework for the Design and Specification of Data Analytics Projects",conference,"{{Unknown}}","Fill full author list"
P0,organizational2024dashboard,2024,"Organizational Decision Making and Analytics: An Experimental Study on Dashboard Visualizations",journal,"{{Unknown}}","Fill full author list"
P1,contextaware2024xai,2024,"A Context-Aware Decision Support System for Selecting Explainable Artificial Intelligence Methods in Business Organizations",journal,"{{Unknown}}","Fill full author list"
P1,generative2025decision,2025,"Generative AI for Decision-Making: A Multidisciplinary Perspective",journal,"{{Unknown}}","Fill full author list"
P1,prescriptive2025systems,2025,"Prescriptive Analytics Systems Revised: A Systematic Literature Review from an Information Systems Perspective",journal,"{{Unknown}}","Fill full author list"
P1,industry2024aidss,2024,"AI-Based Decision Support Systems in Industry 4.0, a Review",journal,"{{Unknown}}","Fill full author list"
P1,towards2025visualindustrial,2025,"Towards Visual Analytics for Explainable AI in Industrial Applications",journal,"{{Unknown}}","Fill full author list"
P1,methodology2024xaiinterfaces,2024,"A Methodology to Guide Companies in Using Explainable AI-Driven Interfaces in Manufacturing Contexts",journal,"{{Unknown}}","Fill full author list"
P1,realtime2024railway,2024,"Real-time Decision Support for Human-Machine Interaction in Digital Railway Control Rooms",journal,"{{Unknown}}","Fill full author list"
P1,democratizing2025agrifood,2025,"Democratizing Human-AI Collaborative Decision-Making in Agri-Food Supply Chains: A Trust-Building Framework",journal,"{{Unknown}}","Fill full author list"
P1,dashboard2025b2b,2025,"How Business Dashboards Enhance B2B Decisions: The Role of Asymmetric Information Management Capability",journal,"{{Unknown}}","Fill full author list"
P1,finben2024,2024,"FinBen: A Holistic Financial Benchmark for Large Language Models",preprint,"{{Unknown}}","Fill full author list"
P1,mastermind2024strategic,2024,"LLM as a Mastermind: A Survey of Strategic Reasoning with Large Language Models",tech_report,"{{Unknown}}","Fill full author list"
P1,llmbased2024multiagent,2024,"A Survey on LLM-based Multi-Agent System: Recent Advances and New Frontiers in Application",preprint,"{{Unknown}}","Fill full author list"
P1,eval2025agents,2025,"Survey on Evaluation of LLM-based Agents",preprint,"{{Unknown}}","Fill full author list"
P1,feedback2025agents,2025,"A Survey on the Feedback Mechanism of LLM-based AI Agents",conference,"{{Unknown}}","Fill full author list"
P2,bizfinance2024benchmarking,2024,"Benchmarking Business and Finance Reasoning with Large Language Models",misc,"{{Unknown}}","First verify whether this is a real citable source, then fill authors if it exists"
P2,financeqa2024survey,2024,"Recent Advances in Financial Question Answering and Reasoning for Large Language Models",misc,"{{Unknown}}","First verify whether this is a real citable source, then fill authors if it exists"
P2,agentbusiness2025survey,2025,"Multi-Agent Systems for Business Analysis and Decision Support: Emerging Trends",misc,"{{Unknown}}","First verify whether this is a real citable source, then fill authors if it exists"
P2,canvasinteraction2025survey,2025,"Canvas-Based Interaction for Generative Analytical Systems: Recent Directions",misc,"{{Unknown}}","First verify whether this is a real citable source, then fill authors if it exists"
P2,evidencegrounding2024survey,2024,"Evidence Grounding and Citation Support in Generative Systems: A Review",misc,"{{Unknown}}","First verify whether this is a real citable source, then fill authors if it exists"
